Id,Name,ShortName,Alias,IHSOperatorCode,OperatorTicker,CompanyType,CreatedBy,Created,ModifiedBy,Modified,RowVersion
44,BISON O&G,BISON,BISON,276140,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:18:12.7959495 +00:00,0x00000000000F78F2
46,SOVEREIGN ENERGY LLC,SOVEREIGN,BSEG,132239,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:07:40.5975079 +00:00,0x00000000000F7989
49,ENERGY MINERALS CORPORATION,ENERGY MINERALS,ENERGY MINERALS,010591,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:33:16.4134874 +00:00,0x00000000000FD137
50,BYRON OIL INDUSTRIES,BYRON,BYRON,004958,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:30:57.1799786 +00:00,0x00000000000F7920
51,MURCHISON OIL & GAS INCORPORATED,MURCHISON,MURCHISON,023607,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:48:26.9691996 +00:00,0x00000000000FD138
52,OXY USA INC,OXY,OXY,025158,OXY,PUBLIC,NULL,NULL,13,2018-05-18 15:02:38.6386162 +00:00,0x00000000000F7D0B
53,OASIS PETROLEUM NORTH AMERICA LLC,OASIS,OASIS,226186,OAS,PUBLIC,NULL,NULL,13,2018-05-18 15:02:07.4154372 +00:00,0x00000000000F7D0A
58,ENERPLUS RESOURCES (USA) CORPORATION,ENERPLUS,ENERPLUS,220764,ERF,PUBLIC,NULL,NULL,13,2018-05-18 00:05:58.6356603 +00:00,0x00000000000F7BC5
62,KAUFFMAN K P COMPANY INCORPORATED,K P KAUFFMAN,K P KAUFFMAN,073488,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:47:49.7178947 +00:00,0x00000000000F7CDF
63,KERR-MCGEE OIL & GAS ONSHORE LP,KERR-MCGEE,ANADARKO,220745,APC,PUBLIC,NULL,NULL,13,2018-05-18 14:51:04.0172312 +00:00,0x00000000000F7CEB
64,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,LIBERTY,LIBERTY,257675,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:51:29.1710179 +00:00,0x00000000000F7CEC
67,MRI,MRI,NULL,119196,NULL,NEEDS EDIT,NULL,NULL,13,2018-05-18 14:58:31.3536291 +00:00,0x00000000000F7D05
69,PETROHUNT,PETROHUNT,NULL,222541,NULL,NEEDS EDIT,NULL,NULL,13,2018-05-18 16:45:26.6520109 +00:00,0x00000000000F7D5D
70,PETROSHARE CORPORATION,PETROSHARE,PETROSHARE,250110,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:33:53.3656443 +00:00,0x00000000000F7CB4
71,RAISA II OPERATING LLC,RAISA II,RAISA,271617,NULL,PRIVATE,NULL,NULL,13,2018-05-18 00:05:13.4131350 +00:00,0x00000000000F7BC4
76,HIGHLANDS,HIGHLANDS,NULL,106496,NULL,NEEDS EDIT,NULL,NULL,13,2018-05-18 14:54:52.2925527 +00:00,0x00000000000F7CF0
